style_id,upc_num,gender,collection,size,description,wholesale_price,retail_price,color,country_of_origin,warranty,band_color,band_material,case_material,clasp_type,dial_color,movement_type,water_resistant,max_cart_qty
ES4729,796483470484,Ladies,Prismatic Galaxy,33,FOSSIL / LADIES / PRISMATIC 33MM,49.5,99,Blue,Japan - JP,2 - Year International Limited Warranty,Blue,Leather,Stainless Steel,Buckle,Blue,Quartz,50m - 160ft - 5atm,10000.0
ES4730,796483470446,Ladies,Prismatic Galaxy,33,FOSSIL / LADIES / PRISMATIC 33MM,49.5,99,Green,Japan - JP,2 - Year International Limited Warranty,Green,Leather,Stainless Steel,Buckle,Green,Quartz,50m - 160ft - 5atm,10000.0
ES4731,796483470460,Ladies,Prismatic Galaxy,33,FOSSIL / LADIES / PRISMATIC 33MM,49.5,99,Red,Japan - JP,2 - Year International Limited Warranty,Red,Leather,Stainless Steel,Buckle,Red,Quartz,50m - 160ft - 5atm,10000.0
ES4735,796483469754,Ladies,Carlie Mini,28,FOSSIL / LADIES / CARLIE MINI 28MM,65.0,130,White,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless Steel,Stainless Steel,Fold-Over,White,Quartz,30m - 100ft - 3atm,10000.0
ES4741,796483478541,Ladies,FB-01,36,FOSSIL / LADIES / FB-01 36MM,64.5,129,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Deployment,Silver,Quartz,100m - 330ft - 10atm,10000.0
ES4742,796483478572,Ladies,FB - 01,36,FOSSIL / LADIES / FB-01 36MM,64.5,129,Blue,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Fold-Over,Blue,Quartz,100m - 330ft - 10atm,10000.0
ES4744,796483479111,Ladies,Fb-01,36,FOSSIL / LADIES / FB - 01 36MM,70.0,140,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless Steel,Stainless Steel,Fold-Over,Silver,Quartz,100m - 330ft - 10atm,10000.0
ES4745,796483478596,Ladies,FB - 01,36,FOSSIL / LADIES / FB-01 36MM,70.0,140,Black,Japan - JP,2 - Year International Limited Warranty,Multi,Stainless Steel,Stainless Steel,Fold-Over,Black,Quartz,100m - 330ft - 10atm,10000.0
ES4746,796483478602,Ladies,Fb-01,36,FOSSIL / LADIES / FB - 01 36MM,70.0,140,Green,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless Steel,Stainless Steel,Fold-Over,Green,Quartz,100m - 330ft - 10atm,10000.0
ES4748,796483478589,Ladies,Fb-01,36,FOSSIL / LADIES / FB - 01 36MM,70.0,140,Rose Gold,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,Fold-Over,Rose Gold,Quartz,100m - 330ft - 10atm,10000.0
ES4755,796483490345,Ladies,Stella,18,FOSSIL / LADIES / STELLA 38MM,79.5,159,White,Japan - JP,2 - Year International Limited Warranty,Two-Tone,Stainless Steel,Stainless Steel,Fold-Over,White,Quartz,50m - 160ft - 5atm,10000.0
ES4756,796483490338,Ladies,Stella,18,FOSSIL / LADIES / STELLA 38MM,79.5,159,Gold,Japan - JP,2 - Year International Limited Warranty,Two-Tone,Stainless Steel,Stainless Steel,Fold-Over,Gold,Quartz,50m - 160ft - 5atm,10000.0
ES4757,796483490321,Ladies,Stella,38,FOSSIL / LADIES / STELLA 38MM,79.5,159,Gold,Japan - JP,2 - Year International Limited Warranty,Two-Tone,Stainless Steel,Stainless Steel,Deployment,Gold,Quartz,50m - 160ft - 5atm,10000.0
ES4767,796483478558,Ladies,FB-01,18,FOSSIL / LADIES / FB-01 36MM,64.5,129,Blue,Japan - JP,2 - Year International Limited Warranty,Rose Gold,Stainless Steel,Stainless Steel,Fold-Over,Blue,Quartz,100m - 330ft - 10atm,10000.0
