style_id,retail_price,upc_num,description,collection,case,gender,status,2015,2016,2017,2018,2019,2020,2021,2022-01,2022-02,2022-03,2022-04,qt_sales_order,total_sales_2022,qt_on_hand,monthly_avg_2022
ES5130,159.0,796483557482,FOSSIL / LADIES / STELLA 37MM,STELLA,37MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,8.0,16.0,4.0,0.0,44.0,46.0,11.0
ES5131,159.0,796483557499,FOSSIL / LADIES / STELLA 37MM,STELLA,37MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,6.0,5.0,4.0,0.0,25.0,30.0,6.25
ES5133,159.0,796483557437,FOSSIL / LADIES / STELLA 37MM,STELLA,37MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,9.0,3.0,1.0,2.0,27.0,28.0,6.75
ES5134,159.0,796483557444,FOSSIL / LADIES / STELLA 37MM,STELLA,37MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,7.0,3.0,0.0,0.0,19.0,0.0,4.75
ES5135,139.0,796483557475,FOSSIL / LADIES / STELLA 37MM,STELLA,37MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,9.0,14.0,0.0,0.0,28.0,0.0,7.0
ES5136,139.0,796483557536,FOSSIL / LADIES / STELLA 30MM,STELLA,30MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,19.0,0.0,0.0,39.0,41.0,9.75
ES5137,139.0,796483557529,FOSSIL / LADIES / STELLA 30MM,STELLA,30MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,7.0,6.0,0.0,0.0,22.0,48.0,5.5
ES5138,139.0,796483557512,FOSSIL / LADIES / STELLA 30MM,STELLA,30MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,6.0,7.0,3.0,1.0,36.0,39.0,9.0
ES5139,139.0,796483557574,FOSSIL / LADIES / STELLA 30MM,STELLA,30MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,12.0,0.0,0.0,19.0,0.0,4.75
ES5140,149.0,796483555570,FOSSIL / LADIES / SADIE MULTIFUNCTION 37MM,SADIE MULTIFUNCTION,37MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,5.0,10.0,0.0,0.0,23.0,0.0,5.75
ES5141,149.0,796483555587,FOSSIL / LADIES / SADIE MULTIFUNCTION 37MM,SADIE MULTIFUNCTION,37MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,11.0,1.0,0.0,20.0,0.0,5.0
ES5143,149.0,796483557543,FOSSIL / LADIES / JACQUELINE MULTIFUNCTION 38MM,JACQUELINE MULTIFUNCTION,38MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,0.0,21.0,7.0,3.0,36.0,19.0,9.0
ES5146,129.0,796483554702,FOSSIL / LADIES / GABBY 34MM,GABBY,34MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,3.0,15.0,2.0,0.0,28.0,25.0,7.0
ES5148,109.0,796483555600,FOSSIL / LADIES / GABBY 34MM,GABBY,34MM,LADIES,2021H4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,39.0,0.25
