style_id,upc_num,priority,case,availability,qty_on_hand,qty_on_order,qty_total,qty_sales_order,qty_sold_last_6m,qty_avg/mo,months_of_supply,cte_cost,qty_cte_cost,status,2015,2016,2017,2018,2019,2020,2021,2022-01,2022-02,2022-03,2022-04,total_sales_2022,monthly_avg_2022,color,country_of_origin,warranty,band_color,band_material,case_material,clasp_type,dial_color,movement_type,water_resistant,max_cart_qty,case_size,gender,retail_price,collection,wholesale_price
FS5666,796483470958,B,42MM,Available,18.0,0,18.0,0.0,14,2.3333333333333335,7.7142857142857135,42.0,0.0,2019h4,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,0.0,7.0,1.75,Black,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Black,Quartz,50m - 160ft - 5atm,10000.0,42.0,Mens,120.0,Copeland,60.0
FS5699,796483490635,C,44MM,Available,7.0,10,17.0,0.0,22,3.6666666666666665,4.636363636363637,62.99999999999999,0.0,2020h1,0.0,0.0,0.0,0.0,0.0,10.0,31.0,3.0,1.0,2.0,3.0,9.0,2.25,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless steel,Stainless steel,Deployment,Silver,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,180.0,Neutra chrono,90.0
FS5707,796483521773,C,44MM,Available,25.0,0,25.0,0.0,30,5.0,5.0,62.99999999999999,0.0,2021h1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,10.0,14.0,0.0,25.0,6.25,Black,Japan - JP,2 - Year International Limited Warranty,Black,Stainless steel,Stainless steel,Fold-over,Black,Quartz,50m - 160ft - 5atm,100.0,44.0,Mens,180.0,Neutra chrono,90.0
FS5708SET,796483497597,B,44MM,Available,24.0,0,24.0,10.0,54,9.0,3.7777777777777777,59.49999999999999,594.9999999999999,2020h2,0.0,0.0,0.0,0.0,0.0,20.0,39.0,6.0,0.0,7.0,5.0,18.0,4.5,Blue,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Blue,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,170.0,Neutra chrono,85.0
FS5711,796483498587,C,50MM,Available,42.0,0,42.0,0.0,51,8.5,4.9411764705882355,70.0,0.0,2020h2,0.0,0.0,0.0,0.0,0.0,40.0,79.0,3.0,0.0,20.0,0.0,23.0,5.75,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless steel,Stainless steel,Deployment,Silver,Quartz,50m - 160ft - 5atm,10000.0,50.0,Mens,200.0,Bronson,100.0
FS5712,796483498594,A,50MM,Available,41.0,10,51.0,0.0,56,9.333333333333334,5.4642857142857135,70.0,0.0,2020h2,0.0,0.0,0.0,0.0,0.0,55.0,97.0,10.0,4.0,11.0,0.0,25.0,6.25,Black,Japan - JP,2 - Year International Limited Warranty,Black,Stainless steel,Stainless steel,Deployment,Black,Quartz,50m - 160ft - 5atm,10000.0,50.0,Mens,200.0,Bronson,100.0
FS5713,796483498600,C,50MM,Available,26.0,0,26.0,0.0,31,5.166666666666667,5.032258064516129,62.99999999999999,0.0,2020h2,0.0,0.0,0.0,0.0,0.0,60.0,76.0,4.0,4.0,11.0,0.0,19.0,4.75,Black,Japan - JP,2 - Year International Limited Warranty,Multicolor,Leather,Stainless steel,Buckle,Black,Quartz,50m - 160ft - 5atm,10000.0,50.0,Mens,180.0,Bronson,90.0
FS5714,796483498617,C,50MM,Available,10.0,30,40.0,0.0,46,7.666666666666667,5.217391304347826,62.99999999999999,0.0,2020h2,0.0,0.0,0.0,0.0,0.0,55.0,90.0,6.0,4.0,10.0,1.0,21.0,5.25,Black,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Black,Quartz,50m - 160ft - 5atm,10000.0,50.0,Mens,180.0,Bronson,90.0
FS5735,796483507319,C,44MM,Available,20.0,10,30.0,0.0,23,3.8333333333333335,7.826086956521739,56.0,0.0,2020h3,0.0,0.0,0.0,0.0,0.0,7.0,33.0,5.0,5.0,0.0,0.0,10.0,2.5,Green,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Green,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,160.0,Neutra chrono,80.0
FS5756,796483521544,C,44MM,Available,18.0,0,18.0,0.0,18,3.0,6.0,45.5,0.0,2020h3,0.0,0.0,0.0,0.0,0.0,2.0,33.0,0.0,0.0,4.0,1.0,5.0,1.25,Black,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Black,Quartz,30m - 100ft - 3atm,10000.0,44.0,Mens,130.0,The minimalist 3h,65.0
FS5763,796483521612,B,44MM,Available,9.0,0,9.0,10.0,19,3.1666666666666665,6.0,56.0,560.0,2020h3,0.0,0.0,0.0,0.0,0.0,0.0,35.0,3.0,0.0,4.0,1.0,8.0,2.0,Black,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,Buckle,Black,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,160.0,Neutra chrono,80.0
FS5772,796483513303,C,44MM,Available,15.0,30,45.0,0.0,88,14.666666666666666,3.0681818181818183,56.0,0.0,2020h3,0.0,0.0,0.0,0.0,0.0,0.0,147.0,5.0,0.0,25.0,3.0,33.0,8.25,Gold,Japan - JP,2 - Year International Limited Warranty,Gold,Stainless steel,Stainless steel,Fold-over,Gold,Quartz,100m - 330ft - 10atm,10000.0,44.0,Mens,160.0,Garrett,80.0
FS5791,796483530553,C,44MM,Available,41.0,0,41.0,0.0,43,7.166666666666667,5.720930232558139,56.0,0.0,No status reported,0.0,0.0,0.0,0.0,0.0,0.0,41.0,10.0,4.0,4.0,0.0,18.0,4.5,Blue,Japan - JP,2 - Year International Limited Warranty,Brown,Leather,Stainless steel,No clasp type reported,Blue,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,160.0,Neutra chrono,80.0
FS5792,796483530485,B,44MM,Available,30.0,30,60.0,0.0,30,5.0,12.0,62.99999999999999,0.0,2021h1,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,3.0,0.0,0.0,3.0,0.75,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless steel,Stainless steel,No clasp type reported,Blue,Quartz,50m - 160ft - 5atm,10000.0,44.0,Mens,180.0,Neutra chrono,90.0
FS5795,796483534360,C,42MM,Available,39.0,0,39.0,10.0,64,10.666666666666666,4.59375,66.5,665.0,2021h2,0.0,0.0,0.0,0.0,0.0,0.0,43.0,6.0,6.0,14.0,6.0,32.0,8.0,Silver,Japan - JP,2 - Year International Limited Warranty,Silver,Stainless steel,Stainless steel,Deployment,Blue,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,190.0,Everett chronograph,95.0
FS5796,796483534377,C,42MM,Available,45.0,0,45.0,0.0,47,7.833333333333333,5.74468085106383,66.5,0.0,2021h2,0.0,0.0,0.0,0.0,0.0,0.0,34.0,6.0,0.0,10.0,3.0,19.0,4.75,Silver,Japan - JP,2 - Year International Limited Warranty,Two-tone,Stainless steel,Stainless steel,Deployment,Cream,Quartz,50m - 160ft - 5atm,100.0,42.0,Mens,190.0,Everett chronograph,95.0
